|San Diego|US
Oracle|Redwood Shores|US
Oracle|Zapopan|Mexico
Oregon Health & Science University|Portland|US
Oregon State University|Corvallis|US
Osaka Prefecture University|Osaka|Japan
Osaka University Dental Hospital|Suita|Japan
Osaka University|Osaka|Japan
Otago Polytechnic|Dunedin|New Zealand
Otto-von-Guericke-University Magdeburg|Magdeburg|Germany
ovos GmbH|Vienna|Austria
Oxford Brookes University|Oxford|UK
Pacific Northwest National Laboratory|Richland|US
Palo Alto Research Center (PARC)|Palo Alto|US
Panafold|Mountain View|US
Paris Descartes University|Paris|France
Parsons The New School for Design|New York|US
PayPal|Austin|US
Peking University|Beijing|China
Pennsylvania State University|University Park|US
Perth and Kinross Council|Perth|UK
Pervasive Media Studio|Bristol|UK
Philips Research|Briarcliff Manor|US
Philips Research|Eindhoven|The Netherlands
Philips|Drachten|The Netherlands
Pitney Bowes Inc.|Shelton|US
Play|Warsaw|Poland
Pohang University of Science and Technology (POSTECH)|Pohang|Republic of Korea
Pohang University of Science and Technology|Pohang|Korea
Politechnic University of Catalonia|Barcelona|Spain
Politecnico di Milano|Milan|Italy
Politecnico di Milano|Milano|Italy
Politecnico di Torino|Torino|Italy
Polytech'Nantes|Nantes|France
Polytechnic Institute of New York University|Brooklyn|US
Pomona College|Claremont|US
Pontifical Catholic University of Rio de Janeiro (PUC-Rio)|Rio de Janeiro|Brazil
Portland State University|Portland|US
Portsaid University|Portsaid|Egypt
POSTECH|Pohang|Republic of Korea
Praekelt Foundation|Hyderabad|India
Pratt Institute|New York|US
PresenceDisplays|Delft|The Netherlands
Princeton University|Princeton|US
Professional Usability Services|London|UK
Public Research Center Henri Tudor|Luxembourg-Kirchberg|Luxembourg
Public University of Navarra|Pamplona|Spain
PUC-Rio|Rio de Janeiro|Brazil
PUCRS|Porto Alegre|Brazil
Purdue University|West Lafayette|US
Qualcomm Corporate R&D|Cambridge|UK
Qualcomm Technologies Inc.|San Diego|US
"Quality and Usability Lab, Deutsche Telekom Laboratories|Berlin|Germany"
"Queen Mary, University of London|London|UK"
Queen's University|Kingston|Canada
Queensland University of Technology|Brisbane|Australia
Rackspace|San Antonio|US
RadixNova|Pittsford|US
Rakuten Inc.|Tokyo|Japan
RealNetworks Through Volt|Seattle|US
RedWhale Software|San Mateo|US
Reflective Thinking|Newcastle upon Tyne|UK
Renault|Guyancourt|France
Research department|Gothenburg|Sweden
Research Group Digital Media|Bremen|Germany
"Research Labs, NTT docomo|Yokosuka|Japan"
Research Studios Austria|Vienna|Austria
Reutlingen University|Reutlingen|Germany
RheinMain University of Applied Sciences|Wiesbaden|Germany
Rhodes University|Grahamstown|South Africa
Rice University|Houston|US
Ritsumeikan University|Kusatsu|Japan
Ritsumeikan University|Kyoto|Japan
Rivendel Consulting & Design|Berkeley|US
RMIT University|Melbourne|Australia
RNHA|Birmingham|UK
Rochester Institute of Technology|Rochester|US
Roskilde University|Roskilde|Denmark
Rotterdam School of Management|Rotterdam|The Netherlands
Rotterdam University of applied sciences|Rotterdam|The Netherlands
Royal college of Art|London|UK
Royal Free NHS Trust|London|UK
Royal Holloway|Egham|UK
Royal Institute of Technology (KTH)|Stockholm|Sweden
Royal Melbourne Institute of Techonology|Melbourne|Australia
Ruhr-University of Bochum|Bochum|Germany
Rutgers University|New Brunswick|US
ruwido|Neumarkt|Austria
RWTH Aachen University|Aachen|Germany
Ryerson University|Toronto|Canada
Saitama University|Saitama|Japan
SAMH Engineering|Blackrock|Ireland
"Samsung Advanced Institute of Technology (SAIT), Samsung Electronics|Yongin-si|Republic of Korea"
Samsung DTL lab|Richardson|US
Samsung Electronics|Dallas|US
Samsung Electronics|Suwon|Republic of Korea
Samsung R&D Research Center|San Jose|US
Samsung Telecom America|Richardson|US
Samsung UX Innovations Lab|San Jose|US
Samsung|San Jose|US
Samsung|Suwon|Republic of Korea
San Jose State University|Moffett Field|US
Santa Clara University|Santa Clara|US
SAP AG|Darmstadt|Germany
SAP AG|Dresden|Germany
SAP AG|Walldorf|Germany
SAP France|Levallois Perret|France
SAP Labs India|Bangalore|India
"SAP Labs, LLC.|Palo Alto|US"
SAP Labs|Bangalore|India
SAP Research Darmstadt|Darmstadt|Germany
"SAP Research, SAP AG|Dresden|Germany"
SAP Research|Karlsruhe|Germany
SAP|Palo Alto|US
Sapienza - University of Rome|Rome|Italy
Savannah College of Art and Design|Savannah|US
Scalable Conversations|Berkeley|US
"School of Communication, Media and Information Technology, Rotterdam University|Rotterdam Univeristy|The Netherlands"
School of Interactive Arts + Technology (SIAT)|Surrey|Canada
School of Interactive Computing|Atlanta|US
School of Science Aalto University|Espoo|Finland
School of Software and Microelectronics|Xi'an|China
School of Software Engineering|Beijing|China
Seattle Cancer Care Alliance|Seattle|US
Seattle Pacific University|Seattle|US
Seoul National University|Seoul|Republic of Korea
Shahjalal University of Science & Technology|Sylhet-3114|Bangladesh
Shandong University|Jinan|China
"Sharif University of Technology|Tehran|Iran, Islamic Republic of"
Sheffield Hallam University|Sheffield|UK
"Shenzhen Institute of Advanced Technology, CAS|Shenzhen|China"
Shenzhen Institutes of Advanced Technology (SIAT)|Shenzhen|China
Shinshu University|Nagano|Japan
Shinshu University|Ueda|Japan
SICS|Kista|Sweden
SICS|Stockholm|Sweden
Siena College|Loudonville|US
Simcentric Technologies|Melbourne|Australia
Simon Fraser University|Burnaby|Canada
Simon Fraser University|Surrey|Canada
Simon Fraser University|Vancouver|Canada
Singapore Management University|Singapore|Singapore
Singapore National Eyes Center|Singapore|Singapore
Singapore University of Technology and Design|Singapore|Singapore
Sino-European Usability Center|Dalian|China
SINTEF|Oslo|Norway
Slate Learning|Encinitas|US
Small World Consulting|Lancaster|UK
SMART Technologies|Calgary|Canada
Sokendai|Tokyo|Japan
Sony Computer Entertainment|London|UK
"Sony Computer Science Laboratories, Inc.|Shinagawa-ku|Japan"
Sony CSL Paris|Paris|France
Sony CSL|Tokyo|Japan
SPARK Experience Design|Rockville|US
Spelman College|Atlanta|US
Spigit Inc.|Pleasanton|US
"Ss. Cyril and Methodius University|Skopje|Macedonia, The Former Yugoslav Republic of"
St. John's School|Houston|US
Stanford University|Palo Alto|US
Stanford University|Stanford|US
Starlab|Barcelona|Spain
State University of Rio de Janeiro|Rio de janiero|Brazil
Stockholm University|Kista|Sweden
Stockholm University|Stockholm|Sweden
Stony Brook University|Stony Brook|US
Studio Frankness AB|Stockholm|Sweden
Suita|Osaka|Japan
Sultan Qaboos University|Al-Khoudh|Oman
Sungkyunkwan University|Seoul|Republic of Korea
SusaGroup|Enschede|The Netherlands
Swansea University|Swansea|UK
Swedish Institute of Computer Science|Kista|Sweden
Swinburne University of Technology|Melbourne|Australia
Swinburne University Technology (Sarawak Campus)|Kuching|Malaysia
"Swiss Federal Institute of Technology (EPFL), Lausanne|Lausanne|Switzerland"
Swiss Federal Institute of Technology (ETH Zurich)|Zurich|Switzerland
Syntagm Ltd|Abingdon|UK
Syracuse University|Syracuse|US
T-Method|Chiba|Japan
"t2i Lab, Chalmers|Gothenburg|Sweden"
Tableau Software|Seattle|US
Tallinn University|Tallinn|Estonia
Tampere University of Technology|Tampere|Finland
"Teachers College, Columbia University|New York City|US"
"TecEd, Inc.|Ann Arbor|US"
Technical Research Centre of Finland|Espoo|Finland
Technical University of Catalonia|Castelldefels|Spain
Technical University of Crete|Chania|Greece
Technical University of Denmark|Lyngby|Denmark
Technical University of Lisbon|Lisbon|Portugal
Technical University of Valencia|Valencia|Spain
Technical University Vienna|Vienna|Austria
Technische Universiteit Eindhoven|Eindhoven|The Netherlands
"Technologies for health behaviour change, VTT Technical Research Centre of Finland, Tampere|Tampere|Finland"
Technology and Social Behavior|Evanston|US
Technosite|Madrid|Spain
Teesside University|Middlesbrough|UK
Tel Aviv University|Tel Aviv|Israel
Telecom Italia|Milano|Italy
Telecom Italia|Turin|Italy
Telecom ParisTech - CNRS LTCI UMR 5141|Paris|France
Telefonica Research|Barcelona|Spain
Telekom Innovation Laboratories|Berlin|Germany
Temasek Polytechnic|Singapore|Singapore
TERC|Cambridge|US
Texas A&M University|College Station|US
Texas State University|San Marcos|US
Texas Tech University|Lubbock|US
Thales Research & Technology France|Paris|France
The Australian National University|Canberra|Australia
The Chinese University of Hong Kong|Shatin|Hong Kong
The DuKode Studio|Brooklyn|US
The Graduate Univ. for Advanced Studies|Tokyo|Japan
The Hague University of Applied Sciences|The Hague|The Netherlands
The Hong Kong Polytechnic University|Hung Hom|Hong Kong
The Hong Kong Polytechnic University|Kowloon|Hong Kong
The Hong Kong University of Science and Technology|Hong Kong|China
The MITRE Corporation|Bedford|US
The MITRE Corporation|McLean|US
The Open University of Japan|Mihama-ku|Japan
The Open University|London|UK
The Open University|Milton Keynes|UK
The Pennsylvania State University|State College|US
The Pennsylvania State University|University Park|US
The Smith-Kettlewell Eye Research Institute|San Francisco|US
The University of Auckland|Auckland City Campus|New Zealand
The University of British Columbia|Vancouver|Canada
The University of Electro-Communications|Tokyo|Japan
The University of Hong Kong|Hong Kong|Hong Kong
The University of Hong Kong|Pokfulam|Hong Kong
The University of Manchester|Manchester|UK
The University of Melbourne|Melbourne|Australia
The University of New South Wales|Canberra|Australia
the University of New South Wales|Sydney|Australia
The University of North Carolina at Chapel Hill|Chapel Hill|US
The University of North Carolina at Charlotte|Charlotte|US
The University of Nottingham|Nottingham|UK
The University of Sussex|Brighton|UK
The University of Sydney|Sydney|Australia
The University of Texas at Austin|Austin|US
The University of Tokyo/JST ERATO|Tokyo|Japan
the University of Tokyo|Bunkyo-ku|Japan
The University of Tokyo|Chiba|Japan
The University of Tokyo|Meguro-ku|Japan
The University of Tokyo|Tokyo|Japan
The University of Waikato|Hamilton|New Zealand
The University of Western Ontario|London|Canada
Theatre Auracaria|Newcastle upon Tyne|UK
TinkerStories|Boston|US
Tohoku University|Sendai|Japan
Tokyo Institute of Technology|Tokyo|Japan
Tokyo Institute of Technology|Yokohama|Japan
Tokyo Metropolitan University|Hino|Japan
Tokyo Metropolitan University|Tokyo|Japan
Tokyo University of Agriculture and Technology|Koganei|Japan
Tokyo University of Technology|Hachioji|Japan
Toronto Rehab|Toronto|Canada
Towson University|Towson|US
Trace Center - University of Wisconsin-Madison|Madison|US
"Trinity College, The University of Dublin|Dublin|Ireland"
Troy University|Troy|US
Tsinghua University|Beijing|China
TU Berlin. Telekom Innovation Laboratories|Berlin|Germany
TU Berlin|Berlin|Germany
TU Darmstadt|Darmstadt|Germany
"TU Eindhoven, Department of Industrial Design|Eindhoven|The Netherlands"
Tufts University|Medford|US
Tulane University|New Orleans|US
Tweedie Consulting|Bath|UK
Twist Open Innovations|Bangalore|India
Twitter|San Francisco|US
UBC|Vancouver|Canada
Ubisoft|Pune|India
UC Berkeley|Berkeley|US
UC Irvine|Irvine|US
UC San Diego|La Jolla|US
UC San Diego|San Diego|US
UC Santa Barbara|Santa Barbara|US
UC Santa Cruz|Santa Cruz|US
UCF|Orlando|US
UCLA|Los Angeles|US
UFRGS|Porto Alegre|Brazil
UGent|Ghent|Belgium
"UI Wizards, Inc|San Francisco|US"
"ulinkm.com Co.,Ltd.|Wuyishan|China"
Ulm University|Ulm|Germany
UMBC|Baltimore|US
UMD|College Park|US
Umea Institute of Design|Umea|Sweden
Umea University|Umea|Sweden
UNC - Chapel Hill|Chapel Hill|US
UNC Charlotte|Charlotte|US
Union County Public Schools|Monroe|US
Unister GmbH|Leipzig|Germany
United Technologies|Hartford|US
Univ Paris-Sud & CNRS|Orsay|France
"Univ Paris-Sud, CNRS & INRIA, Paris|Paris|France"
Univ Paris-Sud|Orsay|France
Univ. Paris-Sud|Orsay|France
Univ. Paul Sabatier|Toulouse|France
Univercity of Electro-Communications|Chofu|Japan
Univeristy of Massachusetts Lowell|Lowell|US
Univeristy of Oslo|Oslo|Norway
Univeristy of Oxford|Oxford|UK
Univerity of Central Lancashire|Preston|UK
Universidad Autonoma de Baja California|Tijuana|MEXICO
Universidad Carlos III de Madrid|Leganes|Spain
Universidad Complutense de Madrid (UCM)|Madrid|Spain
Universidad de Zaragoza (Spain)|Zaragoza|Spain
Universidad Francisco Marroquin|Guatemala|Guatemala
Universidad Jaume I|Castellon|Spain
Universidad Michoacana|Michoac��_�n|Mexico
Universidad Nacional|heredia|Costa Rica
Universidad Politecnica de Madrid|Madrid|Spain
Universidad Publica de Navarra|Pamplona|Spain
Universidad Rey Juan Carlos|Madrid|Spain
Universidad Rey Juan Carlos|Mostoles|Spain
Universidade do Porto|Porto|Portugal
Universidade Federal do Rio Grande do Sul|Porto Alegre|Brazil
Universidade Nova de Lisboa|Lisboa|Portugal
Universidade Tecnica de Lisboa|Lisbon|Portugal
Universitat Politecnica de Valencia|Valencia|Spain
Universitat Pompeu Fabra|Barcelona|Spain
Universite Joseph Fourier|Grenoble|France
Universiteit Hasselt|Diepenbeek|Belgium
Universiteit Hasselt|Hasselt|Belgium
"University at Albany, State University of New York|Albany|US"
University Calgary|Calgary|Canada
University College Cork|Cork|Ireland
University College Dublin|Dublin|Ireland
University College Falmouth|Falmouth|UK
University College London|London|UK
University Health Network|Toronto|Canada
University Hospital of Copenhagen|Copenhagen|Denmark
University Lille |Lille|France
University Lyon|Bron|France
University of Aarhus|Aarhus|Denmark
University of Aberdeen|Aberdeen|UK
University of Abertay Dundee|Dundee|UK
University of Alabama at Birmingham|Birmingham|US
University of Alabama|Tuscaloosa|US
University of Alberta|Edmonton|Canada
University of Amsterdam|Amsterdam|The Netherlands
University of Applied Sciences Amberg-Weiden|Amberg|Germany
University of Applied Sciences Upper Austria|Hagenberg|Austria
University of Applied Sciences Upper Austria|Wels|Austria
University of Arts|Berlin|Germany
University of Auckland|Auckland|New Zealand
University of Augsburg|Augsburg|Germany
University of Aveiro|Aveiro|Portugal
University of Baltimore|Baltimore|US
University of Bamberg|Bamberg|Germany
University of Bari|Bari|Italy
University of Basel|Basel|Switzerland
University of Bath|Bath|UK
University of Birmingham|Birmingham|UK
University of Bochum|Bochum|Germany
University of Bordeaux|Bordeaux|France
University of Bordeaux|Talence|France
"University of Bremen, TZI|Bremen|Germany"
University of Bremen|Bremen|Germany
University of Bristol|Bristol|UK
University of British Columbia|Vancouver|Canada
"University of Calfornia, Riverside|Riverside|US"
University of Calgary|Calgary|Canada
University of California at Santa Cruz|Santa Cruz|US
"University of California, Berkeley|Berkeley|US"
"University of California, Irvine|Irvine|US"
"University of California, Los Angeles|Los Angeles|US"
"University of California, Riverside|Riverside|US"
"University of California, San Diego|La Jolla|US"
"University of California, San Diego|San Diego|US"
"University of California, Santa Barbara|Santa Barbara|US"
"University of California, Santa Cruz|Santa Cruz|Santa Cruz"
University of Cambridge|Cambridge|UK
University of Campinas|Campinas|Brazil
University of Canberra|Canberra|Australia
University of Canterbury|Christchurch|New Zealand
University of Cape Town|Cape Town|South Africa
University of Castilla-La Mancha (UCLM)|Albacete|Spain
University of Castilla-La Mancha|Albacete|Spain
University of Central Florida|Orlando|US
University of Central Lancashire|Preston|UK
University of Chicago|Chicago|US
University of Coimbra|Coimbra|Portugal
University of Colorado at Boulder|Boulder|US
University of Colorado|Boulder|US
University of Connecticut|Storrs|US
University of Copenhagen|Copenhagen|Denmark
University of Crete|Heraklion|Greece
University of Cyprus|Nicosia|Cyprus
University of Duisburg-Essen|Duisburg|Germany
University of Duisburg-Essen|Essen|Germany
University of Dundee|Dundee|UK
University of East Anglia|Norwich|UK
University of Eastern Finland|Joensuu|Finland
University of Edinburgh|Edinburgh|UK
University of Florida|Gainesville|US
University of Fortaleza|Fortaleza|Brazil
University of Freiburg|Freiburg|Germany
University of Fribourg|Fribourg|Switzerland
University of Geneva|GENEVA|Switzerland
University of Genoa|Genoa|Italy
University of Georgia|Athens|US
University of Glasgow|Glasgow|UK
University of Gothenburg|Gothenburg|Sweden
University of Granada|Granada|Spain
University of Graz|Graz|Austria
University of Grenoble - LIG/IIHM - Grenoble-INP - CNRS|Grenoble|France
University of Groningen|Groningen|The Netherlands
University of Guelph|Guelph|Canada
University of Haifa|Haifa|Israel
University of Hamburg|Hamburg|Germany
University of Hannover|Hannover|Germany
University of Hawaii at Manoa|Honolulu|US
University of Helsinki|Helsinki|Finland
University of Houston|Houston|US
University of Iceland|Reykjavik|Iceland
University of Illinois at Chicago|Chicago|US
University of Illinois at Urbana-Champaign|Champaign|US
University of Illinois at Urbana-Champaign|Singapore|Singapore
University of Illinois Chicago (UIC)|Chicago|US
University of Ioannina|Ioannina|Greece
University of Iowa|Iowa City|US
University of Jinan|Jinan|China
University of Kaiserslautern|Kaiserslautern|Germany
University of Kiel|Kiel|Germany
University of Koblenz-Landau|Koblenz|Germany
University of Konstanz|Konstanz|Germany
University of Leeds|Leeds|UK
University of Leicester|Leicester|UK
University of Leuven|Leuven|Belgium
University of Limerick|Limerick|Ireland
University of Lincoln|Lincoln|UK
University of Linz|Linz|Austria
University of Lisbon|Lisbon|Portugal
University of Lleida|Lleida|Spain
University of London|London|UK
University of Lorraine|Metz|France
University of Louvain|Louvain-la-Neuve|Belgium
University of Lugano|Lugano|Switzerland
University of Luxembourg|Luxembourg-Kirchberg|Luxembourg
University of Lyon - EDF Research & Development|Lyon|France
"University of Lyon, LIRIS|Villeurbanne F-69621|France"
University of Madeira|Funchal|Portugal
University of Magdeburg|Magdeburg|Germany
University of Malta|Msida|Malta
University of Manchester|Manchester|UK
University of Manitoba|Winnipeg|Canada
University of Mannheim|Mannheim|Germany
University of Maryland iSchool|College Park|US
"University of Maryland, Baltimore County|Baltimore|US"
University of Maryland|College Park|US
University of Massachusetts Lowell|Lowell|US
University of Massachusetts|Amherst|US
University of Melbourne|Melbourne|Australia
University of Memphis|Memphis|US
"University of Michigan, School of Information|Ann Arbor|US"
University of Michigan|Ann Arbor|US
University of Minho|Braga|Portugal
University of Minnesota|Duluth|US
University of Minnesota|Minneapolis|US
University of Monash|melbourne|Australia
University of Munich (LMU)|Munich|Germany
"University of Nebraska, Lincoln|Lincoln|US"
"University of Nevada, Reno|Reno|US"
University of New Hampshire|Durham|US
University of New Mexico|Albuquerque|US
University of New York at Albany|Albany|US
University of Nicosia|Nicosia|Cyprus
University of North Carolina at Charlotte|Charlotte|US
University of North Carolina-Chapel Hill|Chapel Hill|US
University of Northumbria|Newcastle-upon-Tyne|UK
University of Notre Dame|Notre Dame|US
University of Nottingham|Nottingham|UK
University of Oklahoma|Norman|US
University of Oldenburg|Oldenburg|Germany
University of Ontario Institute of Technology|Oshawa|Canada
University of Oslo|Oslo|Norway
University of Otago|Dunedin|New Zealand
University of Oulu|Oulu|Finland
University of Oxford|Oxford|UK
University of Padova|Padova|Italy
University of Patras|Patras|Greece
University of Pavia|Pavia|Italy
University of Pennsylvania|Philadelphia|US
University of Pittsburgh|Pittsburgh|US
University of Porto|Porto|Portugal
University of Primorska|Koper|Slovenia
University of Puget Sound|Tacoma|US
University of Rochester|Rochester|US
University of Rostock|Rostock|Germany
University of Salzburg|Salzburg|Austria
University of Santa Cruz|Santa Cruz|US
University of Saskatchewan|Saskatoon|Canada
University of Science and Technology of China|Hefei|China
University of Sheffield|Sheffield|UK
University of Siegen and Fraunhofer FIT|Siegen|Germany
University of Siegen|Siegen|Germany
University of Siena|Siena|Italy
University of Social Sciences and Humanities|Warszawa|Poland
University of South Carolina|Columbia|US
University of South Florida|Tampa|US
University of Southampton|Southampton|UK
University of Southern California|Los Angeles|US
University of Southern Denmark|Kolding|Denmark
University of Split|Split|Croatia
University of St Andrews|St Andrews|UK
University of Strathclyde|Glasgow|UK
University of Stuttgart|Stuttgart|Germany
University of Sunderland|Sunderland|UK
University of Surrey|Guildford|UK
University of Sussex|Brighton|UK
University of Sydney|Sydney|Australia
University of Tallinn|Tallinn|Estonia
University of Tampere|Tampere|Finland
University of Tasmania|Hobart|Australia
University of Tasmania|Launceston|Australia
"University of Technology, Sydney|Ultimo|Australia"
University of Technology|Sydney|Australia
University of Texas at Austin|Austin|US
University of the Philippines Open University|College|Philippines
University of the Sunshine Coast|Maroochydore|Australia
University of the West of England|Bristol|UK
University of the Witwatersrand|Joh|South Africa
University of Tokyo / Sony CSL|Meguro-ku|Japan
University of Tokyo|Tokyo|Japan
University of Toronto|Toronto|Canada
University of Toulouse|Toulouse|France
University of Trento|Trento|Italy
University of Tsukuba|Tsukuba|Japan
University of Turin|Turin|Italy
University of Twente|Enschede|The Netherlands
University of Udine|Udine|Italy
University of Utah|Salt Lake City|US
University of Victoria|Victoria|Canada
University of Vienna|Vienna|Austria
University of Virginia|Charlottesville|US
University of Waikato|Hamilton|New Zealand
University of Warsaw|Warszawa|Poland
University of Warwick|Coventry|UK
University of Washington|Seattle|US
University of Waterloo|Waterloo|Canada
University of West London|london|UK
University of Western Ontario|London|Canada
"University of Wisconsin, Madison|Madison|US"
University of Worcester|Worcester|UK
University of Wyoming|Laramie|US
University of York|York|UK
University of Zaragoza|Zaragoza|Spain
University of Zurich|Zurich|Switzerland
University Pompeu Fabra|Barcelona|Spain
University Stefan cel Mare of Suceava|Suceava|Romania
University Toulouse 3 & CNRS|Toulouse|France
Unviersity of Washington|Seattle|US
"Uplift, Inc.|Washington|US"
Uppsala University|Uppsala|Sweden
User Interface Design GmbH|Ludwigsburg|Germany
Utah State University|Logan|US
Utrecht University|Utrecht|The Netherlands
UVHC|Valenciennes|France
UX Design Edge|St Albans|US
UXLabs|London|UK
Valdosta State University|Valdosta|US
"Vanderbilt University|2209 Garland Avenue, Nashville 37205|US"
Vienna University of Economics and Business|Vienna|Austria
Vienna University of Technology|Vienna|Austria
Virginia Polytechnic Institute and State University|Blacksburg|US
Virginia Tech|Blacksburg|US
"Vis Center,UNC Charlotte.|Charlotte|US"
Vision & Logic|Lincoln|US
Visualization and Interactive Systems Institute; University of Stuttgart|Stuttgart|Germany
VISUS|Stuttgart|Germany
Vodafone Group Services|Duesseldorf|Germany
Volkswagen Group of America|Belmont|US
Vrije Universiteit Brussel|Brussels|Belgium
VTT Technical Research Center Finland|Espoo|Finland
VTT Technical Research Centre of Finland|Oulu|Finland
VTT Technical Research Centre of Finland|Tampere|Finland
VU University Amsterdam|Amsterdam|The Netherlands
Warsaw School of Social Psychology|Poznan|Poland
Warsaw School of Social Psychology|Warsaw|Poland
Waseda University|Shinjuku|Japan
Waseda University|Tokyo|Japan
Washington State University|Pullman|US
Washington University in St. Louis|St. Louis|US
Wearable Computing Lab.|Zurich|Switzerland
Weizmann Institute of Science|Rehovot|Israel
Wellesley College|Wellesley|US
Willow Garage|Menlo Park|US
Worcester Polytechnic Institute|Worcester|US
Wuyi University|Wuyishan|China
Xerox Innovation Group|Grenoble|France
Xerox Research Center Europe|Meylan|France
Xerox Research Centre Europe|Grenoble|France
Xerox Research Centre India|Bangalore|India
Xerox|Webster|US
Xi'an Jiaotong University|Xi'an|China
Xi'an Jiaotong-Liverpool University|Suzhou|China
XRCE Xerox|Meylan|France
Yahoo! Labs|Barcelona|Spain
Yahoo! Labs|Haifa|Israel
Yahoo! Research|San Francisco|US
Yahoo! Research|Santa Clara|US
Yahoo! Research|Sunnyvale|US
Yahoo!|Santa Clara|US
Yildiz Technical University|Istanbul|Turkey
Yonsei University|Seoul|Korea
Yonsei University|Seoul|Republic of Korea
York University|Toronto|Canada
Zhejiang University of Technology|Hangzhou|China
Zhejiang University|Hangzhou|China
