ID,Community,Title,Contact given name,Contact family name,Author list,Keywords,Abstract,Subcommittee Selection,Contribution Type Selection,Paper vs. Note
paper760,"design, cci",Interpreting Input from Children: a Designerly Approach,Christopher,Frauenberger,"Christopher Frauenberger, Judith Good, Wendy Keay-Bright, Helen Pain","Participatory Design / Cooperative Design; Children; Design Methods (Design Rationale, Claims Analysis, Scenarios, Storyboards); Multidisciplinary Design / Interdisciplinary Design","Involving children in the design process of interactive technology can greatly enhance its likelihood of successful adoption, particularly when designers, researchers and teachers are able to interpret ideas from a child's perspective of the world. However, this interpretation of children’s ideas into viable designs and technical specifications presents the biggest challenge for the adult design research team. In this paper we discuss our approach to managing the complexity of combining concepts and ideas that were generated through participatory design work with the practical, technical, ethical and theoretical constraints of developing a technologically enhanced learning environment for children. In particular, we will describe a workshop in which members of the design team aimed to make sense of the outcomes of the participatory activities and to translate them into a design brief. This brief needed to inspire and inform a large multidisciplinary team from outside of the visual design discipline: psychology, computer science and education. During the intense two days of the workshop we used design methods to shape the under-defined and ""wicked"" problem space with which we were faced. With this paper we aim to further the case for using such designerly approaches in combination with participatory and human-centred methods to develop interactive technology. We found that the nature of our design problem did not lend itself to be rationally reduced to produce a single solution, but that it required an understanding of interpretive and speculative approaches for us to be able to cope with the complexity of requirements.",J-Design,Methodology,Paper
paper1533,"design, cci",KidCAD: Digitally Remixing Toys Through Tangible Tools,Sean,Follmer,"Sean Follmer, Hiroshi Ishii",Creativity Support Tools; Children; Tactile & Haptic UIs; Tangible UIs,"Children have great facility in the physical world, and can skillfully model in clay and draw expressive illustrations. Traditional digital modeling tools have focused on mouse, keyboard and stylus input. These tools may be complicated and difficult for young users to easily and quickly create exciting designs. We seek to bring physical interaction to digital modeling, to allow users to use existing physical objects as tangible building blocks for new designs. We introduce KidCAD a digital clay interface for children to remix toys. KidCAD allows children to imprint 2.5D shapes from physical objects into their digital models by deforming a malleable gel input device, deForm. Users can mashup existing objects, edit and sculpt or draw new designs on a 2.5D canvas using physical objects, hands and tools as well as 2D touch gestures. We report on a preliminary user study with 13 children, ages 7 to 10, which provides feedback for our design and helps guide future work in tangible modeling for children. ",Applic.,Refinement,Paper
paper716,"design, cci",Developing IDEAS: Supporting children with autism within a participatory design team,Laura,Benton,"Laura Benton, Hilary Johnson, Emma Ashwin, Mark Brosnan, Beate Grawemeyer",Participatory Design / Cooperative Design; Children; User Interface Design,"IDEAS (Interface Design Experience for the Autistic Spectrum) is a method for involving children with Autistic Spectrum Disorders (ASD) in the technology design process. This paper presents a new version of the method, for use with a design team and providing specific additional support for communication and collaboration difficulties that may arise. A study to trial the new IDEAS method was conducted with two design teams, each involving three children with ASD, in a series of six, weekly design sessions focused on designing a maths game. The findings from this study reveal that the children were able to successfully participate in the sessions and collaborate with other children. The findings also highlight the positive experience that involvement in such a process can offer this population. ",Applic.,Methodology,Paper
paper1153,"design, cci","How Students Find, Evaluate and Utilize Peer-Collected Annotated Multimedia Data in Science Inquiry with Zydeco",Alex,Kuhn,"Alex Kuhn, Brenna McNally, Shannon Schmoll, Clara Cahill, Wan-Tzu Lo, Chris Quintana, Ibrahim Delen",E-Learning and Education; Children; User Studies,"Science inquiry can be more authentic and meaningful when using personal and peer collected multimedia data. The challenges of organizing and evaluating this large amount of data can be overcome through the use of annotations (title, tags, and audio notes) on photographic data. We created Zydeco, a multi-part system that had students collect annotated multimedia data from a museum using a mobile component, then utilize a tablet app to put together an explanation with their personal and peers’ data. We ran a study in a classroom with 54 students (aged 11-13) investigating how students searched for, evaluated, and choose to utilize annotated data for constructing a science explanation. We found that tags were able to support interpreting data, while students used browsing and title searching primarily to find and utilize data.",Applic.,Users,Paper
paper654,"design, cci, health",MOSOCO: A Mobile Assistive Tool to Support Children with Autism Practicing Social Skills in Real-Life Situations,Lizbeth,Escobedo,"Lizbeth Escobedo, David H. Nguyen, Gillian Hayes, LouAnne Boyd, Alejandro Rangel, J. Daniel Garcia, Sen Hirano, Monica Tentori","Children; Augmented Reality and Tangible UI; Computer Supported Cooperative Work (CSCW); Handheld Devices and Mobile Computing; Ubiquitous Computing / Smart Environments; Health Care; Empirical Methods, Qualitative; Interaction Design; Prototyping; User Studies; User-Centered Design / Human-Centered Design; Augmented Reality","MOSOCO is a mobile assistive application that uses augmented reality and the visual supports of a validated curriculum, the Social Compass, to help children with autism practice social skills in real-life situations. In this paper, we present the results of a seven-week deployment study of MOSOCO in a public school in Southern California with students with autism and neurotypical students. The results of our study demonstrate that MOSOCO facilitates practicing and learning social skills, increases both quantity and quality of social interactions, reduces social and behavioral missteps, and enables the integration of children with autism in social groups of neurotypical children. The findings from this study reveal emergent practices of the uses of mobile assistive technologies in real-life situations.",Applic.,Users,Paper
paper1961,"design, cci",Representing “too small to see” as “too small to see”: Using Temporal Representation to Represent Imperceptible Spatial information,Minyoung,Song,"Minyoung Song, Chris Quintana",Multi-modal interfaces; Children; E-Learning and Education; Analysis Methods (e.g. Task/Interaction Modeling); Interaction Design; Multidisciplinary Design / Interdisciplinary Design; Multimedia UIs,"Teaching and learning the sizes of the objects that are too small to see with human eyes (called imperceptible sizes) has been a challenging issue in education. Because representation is the only medium that learners can make sense of imperceptible phenomena with, learners encounter challenges when trying to perceiving and conceptualizing imperceptible sizes. Existing studies imply that conventional visual representations that are incorporated in many learning technologies tend to direct learners to overestimate imperceptible sizes, hence, a need for a novel representation that can alter the way learners perceive and conceptualize imperceptible size emerges. To address this issue, we designed a multimodal representation (temporal-aural-visual representation: TAVR), which uses temporal sense as a main modality for representing imperceptible smallness. In a prior study [27] we found that the time is a useful concept that can be used to support learners to perceive and conceptualize imperceptible spatial information and TAVR is effective for refining learners’ mental model of imperceptible sizes. In this paper, we introduce a follow-up research that explored how to best augment the temporal experience of imperceptible size. ",Cap. & Mod.,Innov. & Vis.,Paper
paper1075,"design, games",Game Design for Promoting Counterfactual Thinking,Elizabeth,Bonsignore,"Elizabeth Bonsignore, Allison Druin",User Experience Design / Experience Design; Computer-Mediated Communication; Social Computing and Social Navigation; Virtual Community / Community Computing; E-Learning and Education; User and Cognitive models; Design Planning; Multidisciplinary Design / Interdisciplinary Design; Visual System Design / Visual Design,"We describe the first iteration of an Alternate Reality Game (ARG) designed to lead players into a newly enfranchised relationship with history, engage them in scientific thinking and information literacy practices, and help them discover hidden stories that exist outside most history books. We found that the points at which the game’s mythology blurred the lines between fact and fiction prompted middle school students to move beyond rote memorization of content. Instead, they began to question, analyze, and make hypotheses about the data presented. However, striking a meaningful balance between “true” history and imagined events posed new design challenges. In this paper we present a formative typology of counterfactual design patterns that can help designers, educators, and players locate interesting fault lines in reality that facilitate the expansion of ARG mythologies. We include visual design strategies to help middle school players distinguish between fact and fiction, while still remaining “in-game.”",J-Design,Methodology,Note
paper1126,"design, games",Looking Glass: A Field Study on Noticing Interactivity of Shop Windows,Jörg,Müller,"Jörg Müller, Robert Walter, Gilles Bailly, Michael Nischt, Florian Alt",Ubiquitous Computing / Smart Environments; Interaction Design; Branding; User Experience Design / Experience Design,"In this paper we present our findings from a lab and a field \ study investigating how passers-by notice the interactivity \ of public displays. We designed an interactive installation \ that uses visual feedback to the incidental movements of \ passers-by to communicate interactivity. The lab study reveals: \ (1) Mirrored user silhouettes and images are more \ effective than avatar-like representations. (2) It takes time \ to notice the interactivity (approx. 1.2s). In the field study, \ three displays were installed during three weeks in shop windows, \ and data about 807 persons interacting were collected. \ Our observations show: (1) Significantly more passers-by \ interact when immediately showing the mirrored user image \ (90% more) or silhouette (47%) compared to a traditional \ attract sequence with call-to-action. (2) Passers-by often notice \ interactivity late and have to walk back to interact (the \ landing effect). (3) If somebody is already interacting, others \ begin interaction behind the ones already interacting, forming \ multiple rows. Our findings can be used to design public \ display applications and shop windows that more effectively \ communicate interactivity to passers-by.",J-Design,Users,Paper
paper1252,"design, games, health",Design of an Exergaming Station for Children with Cerebral Palsy,Hamilton,Hernandez,"Hamilton Hernandez, Nicholas Graham",Children; Entertainment; Health Care; Participatory Design / Cooperative Design; User-Centered Design / Human-Centered Design,"We report on the design of a novel station supporting the play of exercise video games (exergames) by children with cerebral palsy (CP). The station combines a physical platform allowing children with CP to provide pedaling input into a game, a standard Xbox 360 controller, and algorithms for interpreting the cycling input to improve smoothness and accuracy of gameplay. The station was designed through an iterative and incremental participatory design process involving medical professionals, game designers, computer scientists, kinesiologists, physical therapists, and eight children with CP. It has been tested through observation of its use, through gathering opinions from the children, and through small experimental studies. With our initial design, only three of eight children were capable of playing a cycling-based game; with the final design, seven of eight could cycle effectively, and six of eight reached energy expenditure levels recommended by the American College of Sports Medicine.",Applic.,Refinement,Paper
paper1359,"design, games","Chained Displays: Configurations of Public Displays can be used to influence Actor-, Audience-, and Passer-By Behavior",Maurice,ten Koppel,"Maurice ten Koppel, Gilles Bailly, Jörg Müller, Robert Walter",Ubiquitous Computing / Smart Environments; Interaction Design,"Most interactive public displays rely on flat screens that can negatively impact how users (1) notice the public display (2) develop motivation and (3) (socially) interact with the public display. In this paper, we present  Chained displays, a combination of several screens to create different form factors for interactive public displays. We also present a design space based on two complementary properties, Perceptibility and Observability, to describe and compare chained displays configurations. Finally, we performed a field study comparing three chained displays: Flat, Concave, and Hexagonal. Results show that Flat triggers the strongest honeypot effect, Hexagonal causes low social learning, and Concave triggers the smallest amount of simultaneously interacting users among other findings.",J-Design,Users,Paper
paper1377,"design, games",Athletes and Street Acrobats: Designing for play as a Community Value,Annika,Waern,"Annika Waern, Elena Balan, Kim Nevelsteen",Handheld Devices and Mobile Computing; Entertainment; Participatory Design / Cooperative Design; User-Centered Design / Human-Centered Design; User Interface Design,"Participatory design methods face a challenge when designing for a widespread youth culture. In such projects, it is not enough to design in collaboration with a few selected individuals; one must also strive to understand the culture at a deeper level and incorporate its values and practices into the design solution. \  \ We report on our process of designing with, and for, an identified youth culture: the Parkour and Freerunning community. We show how the successful design relied not only on employing methods of participatory observation and participatory design, but also on acquiring an in-depth understanding of the practice informed by cultural and sociological studies. \ ",J-Design,Users,Paper
paper1378,"design, games",Tales from the Front Lines of a Large-Scale Serious Game Project,Rilla,Khaled,"Rilla Khaled, Gordon Ingram","Design Methods (Design Rationale, Claims Analysis, Scenarios, Storyboards); E-Learning and Education; Entertainment; Multidisciplinary Design / Interdisciplinary Design","Serious games have received much positive attention; correspondingly, many researchers have taken up the challenge of establishing how to best design them. However, the current literature often focuses on best practice design strategies and frameworks, abstracting away more fine-grained details and contextual descriptions that are invaluable in helping us to understand, learn from, and reflect on our experiences. In this paper, we present five distinct and sometimes competing perspectives that are critical in understanding factors that influence serious game projects: project organisation, technology, domain knowledge, user research, and game design. We explain these perspectives by providing insights from the design and development process of an EU-funded serious game about conflict resolution developed by an interdisciplinary consortium of researchers and industry-based developers. We also point out a set of underlying forces that become evident from viewing the process from different perspectives, to underscore that problems exist in serious game projects and that we should open the conversation about them.",J-Design,Methodology,Paper
paper1546,"design, games",Of BATs and APEs: Designing an Interactive Tabletop Game for Natural History Museums,Michael,Horn,"Michael Horn, Zeina Atrash Leong, Florian Block, Judy Diamond, Margaret Evans, Brenda Caldwell Phillips, Chia Shen",E-Learning and Education; Input and Interaction Technologies; Children; Interaction Design,"In this paper we describe the design and evaluation of Build-a-Tree (BAT), an interactive tabletop exhibit to help visitors learn about evolution in natural history museums. To test our design we video recorded 30 families using the exhibit at a well-known university natural history museum. We observed an additional 49 social groups interacting with the exhibit without video recording. One goal of this research is to explore ways to develop “successful” interactive elements for natural history museums using tabletop technology. To determine criteria for success in this context, we borrow the concept of Active Prolonged Engagement (APE) from the science museum literature, which sets a high standard for visitor engagement and learning. Our results show that visitor groups collaborated effectively and engaged in focused, on-topic discussion for prolonged periods of time. One possible explanation for these results is that our exhibit is a puzzle-based game. To explore this idea further, we analyzed conversation at the exhibit in depth to understand how visitors applied existing social practices of game play in the museum context. We also offer insights on the role of computer-based games in the natural history museums.",J-Design,Innov. & Vis.,Paper
paper1870,"design, games, sustainability",Playable Character: Extending Digital Games into the Real World,Wendy,Ju,"Jason Linder, Wendy Ju",Interaction Design; Prototyping; Sustainability,"This paper describes a series of research probe games developed to investigate how real-world activity could be incorporated into digital game systems. These culminated in the design of our final game, Forest, which was conceived for the San Francisco non-profit Friends of the Urban Forest (FUF), who have been planting and caring for the city's street trees for 30 years. By incorporating real-world actions and behaviors into digital games, we can create experiences that both enhance our understanding of the world around us and provide incentive structures towards our personal, community, or societal goals. ",J-Design,Innov. & Vis.,Paper
paper481,"design, games",The Impact of Tutorials on Games of Varying Complexity,Erik,Andersen,"Erik Andersen, Eleanor O'Rourke, Yun-En Liu, Rich Snider, Jeff Lowdermilk, David Truong, Seth Cooper, Zoran Popović","Entertainment; Empirical Methods, Quantitative; User Studies","Teaching new users the functionality of an application, whether a video game or a software product, is one of the greatest challenges of interface design. Video game developers frequently depend on tutorials to communicate information to new players, yet there is little published work that evaluates the impact of tutorials on game learnability. To examine this question in more depth, we implemented eight tutorial designs proposed in HCI literature in three video games, and evaluated their effects on player engagement and retention. We present results from a multivariate study of over 45,000 players showing that game complexity influences the effectiveness of tutorial designs. We found that tutorials had a surprisingly negligible effect on player engagement in casual online games. The presence of context-sensitive tutorials and on-demand help were useful in the more complex game we studied, but in the simpler casual games they generally had no effect, or in the case of on-demand help, a negative effect. Additionally, the interactive tutorials that teach specific concepts by restricting player freedom had no significant effects on player engagement in any of the three games. These results suggest that tutorials have unpredictable effects on players, may depend on the complexity of the game in question, and that developers should be aware of the risks of seemingly straightforward tutorial design strategies.",J-Design,Users,Paper
paper1274,"design, games",From Participatory to Contributory Simulations: Changing the Game in the Classroom,Stefan,Kreitmayer,"Stefan Kreitmayer, Yvonne Rogers, Robin Laney, Stephen Peake",Ubiquitous Computing / Smart Environments; Computer Supported Cooperative Work (CSCW),"There is much potential for collaborative learning with interactive computer simulations in formal education and professional training. However, there is a lack of understanding of how such activities can be designed to fit into the large-group, co-located learning ecologies (such as classrooms) in which much of today's teaching takes place. Participatory Simulations have used ubiquitous technologies as a way to engage a whole room full of students in shared role-play-like interaction with computational models. This paper proposes Contributory Simulations as an instructional model which extends Participatory Simulations by empowering students to make informed, critical changes to the modeling, the interaction design and task definitions. Based on findings from our design and in-the-wild deployment of the [anon.] game on global climate economics we argue that Contributory Simulations enable a different kind of classroom-based teaching that is better suited to complex, controversial topics",Beyond Indiv.,Innov. & Vis.,Paper
paper491,"design, health",Introducing the Ambivalent Socialiser,Bernd,Ploderer,"Bernd Ploderer, Wally Smith, Steve Howard, Jon Pearce, Ron Borland",Computer-Mediated Communication; Social Computing and Social Navigation; Health Care; Prototyping,"Social interaction can be a powerful strategy for persuasive technology interventions, yet many users are reluctant to engage with others online because they fear pressure, failure, and shame. We introduce the ‘ambivalent socialiser’, people who are simultaneously keen but also reluctant to engage with others via social media. Our contribution is to identify four approaches to introducing sociality to ambivalent socialisers: structured socialising, incidental socialising, eavesdropping, and trace sensing. We discuss the rationale for these approaches and show how they address recent critiques of persuasive technology. Furthermore, we provide actionable insight for designers of persuasive technology by showing how these approaches can be implemented in a social media application.",Beyond Indiv.,Theory,Note
paper1429,"design, health","Empathy, Participatory Design and People with Dementia",Stephen,Lindsay,"Stephen Lindsay, Katie Britain, Patrick Olivier",Participatory Design / Cooperative Design; Emotion and Affective User Interface; Elderly; User Experience Design / Experience Design,"We describe the development, application and evaluation of a design method tailored for working with people with mild to moderate dementia. Our experiences with the approach highlighted areas where designers and participants held radically different views. To overcome these differences, the tenet guiding this approach was to create an empathic relationship between participants and designers. To achieve this we modified participatory design techniques to foster respectful engagement with participants in the development of a digital aid to facilitate ‘safe walking’. The process begins with broad qualitative scoping work then, through iterative analysis, moves to developing personally tailored, individual designs to further exploration of the experiential elements of the domain while reducing the need for the participants to engage ion abstract thought. Reflections upon this process highlight a number of important areas that need consideration when undertaking research in this area and, more generally, when performing design work with people with dementia.",Applic.,Methodology,Paper
paper1448,"design, health",Engaging Older People through Participatory Design,Stephen,Lindsay,"Stephen Lindsay, Patrick Olivier",Elderly; Participatory Design / Cooperative Design,"The use of digital technologies is increasingly proposed in health and social care to address the aging population phenomenon but, in practice, the designers of these technologies are ill equipped to design for older people. We suggest participatory design as an approach to improving the quality of design for older people but, based on previous work and our own experiences, identify four central issues that participatory design approaches need to address. We describe an approach to early engagement in design with older people that address each of these issues and some of our experiences applying the approach in a variety of different design projects. We conclude by discussing some of the issues that have been highlighted when attempting apply this approach in different design contexts and the issues that have been raised when working with partners who are less committed to the idea of engaging with older adults in participatory design.",S-Design,Methodology,Paper
paper1354,"design, health",Twiage: A Game for Finding Good Advice on Twitter,Daniel,Smith,"Max Van Kleek, Daniel Smith, Ruben Stranders, m.c. schraefel",Social Computing and Social Navigation; Information Architecture; Virtual Community / Community Computing; World Wide Web and Hypermedia,"Recommendations, opinions and personal experiences are being shared by millions of people on microblog networks each day. This paper looks at the feasibility and challenges for harvesting the “best of” such content, so that it may be more easily found and potentially re-purposed by individuals with advice-oriented information needs. We present our experiments with ""Twiage"", a game-with-a-purpose designed to let people quickly sift through a large volume of microblog entries to identify “good advice”.  The results of running this game demonstrate high agreement rates among people on what of those selections represents “good” advice, It also demonstrates the effectiveness of using the Elo rating algorithm to derive such rankings, and shows the efficiency achieved for various levels of desired agreement.  We show that by further validating the quality of selected entries using expert evaluation, we uncovered the need to more aggressively eliminate “weak spam” that non-domain expert crowds did not discern: promotional material and advertisements disguised as articles and reviews.",J-Design,Sys & Tools,Paper
paper1620,"design, health",V-Model : A New Innovative Model for Chronologically Visualizing Narrative Clinical Texts,Heekyong,Park,"Heekyong Park, Jinwook Choi","Health Care; Context-Aware Computing; Visualization; Office and Workplace; Design Methods (Design Rationale, Claims Analysis, Scenarios, Storyboards); User and Cognitive models; Visual Design; Visual System Design / Visual Design; User Interface Design","Visualizing narrative medical events into timeline would have positive effects on clinical environments. However, natural language characteristics and medical environments make the representation more difficult. This paper explains the obstacles and suggests a solution, V-Model. V-Model is a new innovative time model that is developed for representing chronological narrative events in medical domain. Forty medical students participated in evaluating this model. The experimental results show that the new model successfully solves the modeling requirements and has better usability compared to conventional timeline models. All the participants assessed the new timeline is very useful for understanding a patient’s history effectively.",Applic.,Innov. & Vis.,Paper
paper1677,"design, health",Tackling Dilemmas in Supporting “The Whole Person” in Online Patient Communities,Jina,Huh,"Jina Huh, Rupa Patel, Wanda Pratt",Computer Supported Cooperative Work (CSCW); Health Care,"Patient-centered medicine advocates addressing the ‘whole person’ and viewing patients’ medical concerns within the context of the world in which they live. Online patient communities have emerged as important areas where patients can get experiential knowledge. However, how much these communities support the whole patient—both medical and personal side—is an open question. To gain insights into these questions, we examined a sample of online patient communities to understand health professionals’ involvement in bringing in medical advice into peer-patient experience sharing and various ways in which illness experiences are shared among patients. We found the communities fall short in supporting the whole person as evidenced by the separation of (1) clinical expertise generated by health professionals from patient expertise, and (2) patients’ quantified data from narrative experiences. Such separation in the design of these systems can lead to limitations in addressing patients’ interwoven medical and personal concerns. We discuss dilemmas and design implications for supporting the whole person in online patient communities. ",Applic.,Users,Note
paper2003,"design, health",Adaptation as Design: Learning from an EMR Deployment Study,Sun Young,Park,"Sun Young Park, Yunan Chen","Health Care; Computer Supported Cooperative Work (CSCW); Office and Workplace; Empirical Methods, Qualitative; User Studies","We conducted an observational study in an Emergency Department (ED) to examine the adaptation process after deploying an Electronic Medical Records (EMR) system. We investigated how EMR was adapted to the complex clinical work environment and how doctors and nurses engaged in the adaptation process. In this paper, we present three cases in which ED clinicians designed workarounds in order to adapt to the new work practice. Our findings reveal a rich picture of ED clinicians’ active reinterpretation and modification of their work practice through their engagement with the system-in-use and its organizational and physical context. These findings call for the adaptation period in designing a social-technical system in healthcare settings to be critically considered as an active end-user design process, a negotiating process, and a re-routinized process. ",S-Design,Users,Paper
